"County" "Year" "JanAvgMaxTemp" "FebAvgMaxTemp" "MarAvgMaxTemp" "AprAvgMaxTemp" "JanAvgMinTemp" "FebAvgMinTemp" "MarAvgMinTemp" "AprAvgMinTemp" "JanTotalPrecip" "FebTotalPrecip" "MarTotalPrecip" "AprTotalPrecip" "AprTotalGDD" "CornYield" "SoybeanYield"
"1491" "freeborn" 2004 21.3 26.5 43.9 61.8 3.5 10.9 27.5 35.4 0.22 1.55 2.85 2.78 84 177 38
"1492" "freeborn" 2005 21 34.4 38.7 62.3 6.5 18.2 21 39.6 0.44 1.16 1.64 3.56 118 184 54
"1493" "freeborn" 2006 33.2 27.1 38.5 60.6 20.1 7.4 23.5 40.2 0.31 0.23 3.27 8.61 98 173 52
"1494" "freeborn" 2007 25.7 17.4 43 53.8 9.5 2 25.7 34.1 0.81 2.05 1.91 2.46 98 173 52
"1495" "freeborn" 2008 18.9 20.9 34.7 51.1 2.2 2.3 18.5 33 0.43 0.55 0.24 5.43 40 181 43.5
"1496" "freeborn" 2009 16.9 30 40.5 56.6 -3.9 11.6 22.4 34.6 0.79 0.73 1.89 2.74 62 177 42.5
"1497" "freeborn" 2010 16.3 22.2 43.4 65.1 2.1 2.6 26.6 41.1 0.49 1.04 1.77 1.81 140 183.1 49.1
"1498" "freeborn" 2011 18.1 25.1 35.6 52.7 0.7 9.1 20.2 35.2 0.76 0.91 1.78 4.39 30 180.2 45.8
"1499" "freeborn" 2012 30 34.6 57.7 59.3 12.8 18.5 37.8 38.2 0.64 1.84 1.5 4.1 71 173.1 47.4
"1502" "goodhue" 1980 23.6 25.7 37 61 5.8 2.6 14.8 32.9 1.31 0.77 0.82 1.68 99 100 31
"1503" "goodhue" 1981 32.1 34.4 49.1 62.7 6.4 12.2 24.5 36.9 0.585 5.275 3.45 2.43 90 130 35
"1505" "goodhue" 1982 14.5 27 36.9 54.1 -9.4 3 17.1 29.1 2.555 2.97 1.36 2.87 42 116 34
"1507" "goodhue" 1983 28.2 33.2 41.7 51.5 11 17.3 24.7 29.2 2.915 2.215 3.795 2.575 20 104 34
"1509" "goodhue" 1984 24 36.8 35 58.3 1.3 18.7 13.7 35.2 2.625 2.265 2.755 3.26 42 123 34
"1511" "goodhue" 1985 23.3 25.9 47.5 65.5 0 4.6 26.6 38.6 2.66 1.4 2.53 4.08 180 114 30
"1513" "goodhue" 1986 27.4 25.2 45.1 62.7 7.3 6.6 24.7 38.2 1.49 2.965 3.84 3.685 94 134 39
"1517" "goodhue" 1988 21.6 24.8 45 60.5 0.2 2 24.1 32.7 6.27 2.425 0.905 2.28 57 79 29
"1519" "goodhue" 1989 34.1 24.3 38.2 58.3 12.3 -0.9 16.3 33.4 0.71 2.14 3.54 1.71 70 148 42
"1521" "goodhue" 1990 36.6 34.5 47.9 60.05 16 11.65 26.85 36.3 1.36 2.025 2.56 3.375 141.5 139 42
"1523" "goodhue" 1991 23.1 36.45 45.25 61.2 2.9 14.7 24.65 39.15 2.065 0.91 2.195 4.13 130.5 131 42
"1525" "goodhue" 1992 29.4 34.1 40.8 51.25 14.4 21.55 22.7 34 2.55 1.765 3.43 2.14 26 106 30
"1527" "goodhue" 1993 23.5 24.55 37.8 52.95 2.4 6.6 17.6 32.9 2.07 1.615 5.415 4.51 28.5 84 33
"1529" "goodhue" 1994 14.7 21.75 43.65 57.25 -6.1 -0.55 24.2 34.2 3.29 3.1 1.03 2.725 70.5 155 44
"1531" "goodhue" 1995 24.05 28.9 42.85 50.9 8.75 9.55 25.2 32.3 2.265 3.71 5.79 3.105 0.5 126 46
"1533" "goodhue" 1996 20.2 26.95 35.05 52.25 -2.25 7.3 14.45 30.6 2.28 1.91 2.255 3.175 19.5 131 40
"1535" "goodhue" 1997 19.25 29.55 38.65 54.4 1.25 10.75 21.2 31.85 1.455 1.645 1.35 2.475 34.5 147 45
"1537" "goodhue" 1998 26.25 38.15 39.7 61.6 12.2 24.35 23.85 39.7 6.06 2.79 3.73 2.13 80.5 168 50
"1539" "goodhue" 1999 20.15 35.8 44.75 58.25 3 18.9 21.9 38.65 1.74 3.035 2.08 4.33 42.5 156 45
"1541" "goodhue" 2000 24.75 36 51.35 59 3.9 16.9 29 34.5 2.52 2.24 0.9 1.295 65.5 157 49
"1544" "goodhue" 2001 27.65 22.95 36 58.5 8.65 0.65 17.4 38.05 2.615 2.455 1.445 2.94 95 145 39
"1547" "goodhue" 2002 32.7 38.3 34.6666666666667 56.45 15.95 20.9666666666667 17.5333333333333 35.1 1.475 1.91666666666667 1.6 1.86 107.5 167 50
"1551" "goodhue" 2003 24.15 26.75 42.05 58.85 6.05 5.05 21.05 35.2 1.69666666666667 2.75666666666667 3.37333333333333 2.68666666666667 90.5 155 34
"1555" "goodhue" 2004 20.95 28.95 44.25 62.2 4.1 11.75 27.3 35 1.01666666666667 1.69333333333333 1.25 1.47333333333333 97 178 41
"1559" "goodhue" 2005 23.05 34.1 39.95 61.85 7.95 16.5 18.85 38.65 2.9 1.87333333333333 2.7 2.12 113 176 49
"1563" "goodhue" 2006 34.4 30.3 40.65 62.7 24.7 10.75 22.8 40.2 1.35666666666667 0.505 3.78333333333333 1.88 120.5 178 50
"1567" "goodhue" 2007 27.9 20.35 46.15 56.6 12.1 2.9 27.25 35.2 1.66 2.88333333333333 2.2 2.41 121 165 49
"1571" "goodhue" 2008 20.55 21.95 36.35 51.7 2.2 2.65 15.75 33 1.00333333333333 3.87 1.71333333333333 4.20333333333333 41.5 174 42.5
"1575" "goodhue" 2009 16.35 29.9 40.65 56.55 -7.9 9.75 20.35 33.7 1.21666666666667 1.51333333333333 1.155 1.78666666666667 50.5 187 47
"1579" "goodhue" 2010 18.9 26.3 47.95 65.2666666666667 1.9 3.25 25.9 38.8666666666667 1.70333333333333 3.41333333333333 0.75 2.3375 100.666666666667 193.8 52.9
"1584" "goodhue" 2011 18.1 25.8 36.2333333333333 52.5666666666667 0.266666666666667 7.3 18.0666666666667 34.0666666666667 2.0875 1.62 2.76 1.8025 19.3333333333333 178.5 46.8
"1589" "goodhue" 2012 30.4 34.6 57.6333333333333 57.9 12.2333333333333 17.9666666666667 36.7 36.6 2.3675 1.3575 0.8125 1.98 54.3333333333333 186.6 52.8
"1604" "hennepin" 1980 23.5 23.4 36.4 61 7 7.1 18.1 37.4 0.94 0.67 1.12 0.83 134 98 28
"1605" "hennepin" 1981 28.5 32.1 48.6 59.5 7.5 14.6 26.8 38.6 0.3 2.14 0.71 2.17 67 110 33
"1606" "hennepin" 1982 11.5 24.2 35.7 54.3 -6.9 7.4 22.2 33.3 2.45 0.43 2.09 1.62 64 109 36
"1607" "hennepin" 1983 27 32.1 40.5 50.9 12.1 21.6 27.9 33.6 0.67 1.19 3.22 3.97 34 81 32
"1608" "hennepin" 1984 20.1 33.8 32.8 56.9 3.8 21.1 16.8 37.3 0.88 1.64 1.47 3.86 28 96 28
"1609" "hennepin" 1985 20.3 24.9 43.8 63.1 -0.1 8 27.4 41 0.87 0.5 4.48 1.81 179 119 32
"1610" "hennepin" 1986 24.8 22.6 42.8 59.1 10.2 8.7 24.9 40.1 0.9 0.84 2.03 5.88 68 118 30
"1611" "hennepin" 1987 29 41.1 47.7 66.9 13.4 22.1 29.6 40.1 0.63 0.13 0.64 0.16 180 127 34
"1612" "hennepin" 1988 19.7 22.6 42.4 59.2 1.1 5.1 25.1 35.6 1.37 0.3 1.33 1.58 55 35 18
"1613" "hennepin" 1989 30.7 18.1 34 55.7 11.6 -1 19.2 34.8 0.52 1.04 2.19 2.66 76 115 35
"1614" "hennepin" 1990 35.4 33.5 44.8 58.1 17.1 13 26 35.35 0.1 0.77 4.095 3.47 136 117 39
"1616" "hennepin" 1991 21 34.5 43.05 59.8 3.9 14.15 24.35 38.4 0.49 1.17 2.56 3.58 110 106 39
"1618" "hennepin" 1992 29.3 34 41.15 52.35 13.95 21.3 24.55 34.7 0.91 0.52 1.615 2.3 52 105 29
"1620" "hennepin" 1993 23.2666666666667 25.0666666666667 38.9 55.2333333333333 5.53333333333333 9.1 19.7333333333333 34.0333333333333 1.83666666666667 0.87 2.06666666666667 3.65666666666667 38 77 29
"1623" "hennepin" 1994 12.8 22.5666666666667 44 57.7666666666667 -5.33333333333333 3.16666666666667 25.1666666666667 35.0666666666667 1.67 1.80666666666667 2.91333333333333 5.08333333333333 69 140 42
"1626" "hennepin" 1995 24.4666666666667 27.9333333333333 43.45 52.0333333333333 10.1 9.46666666666667 25.7 32.6 1.95666666666667 0.886666666666667 2.78666666666667 2.58 8.66666666666667 123 40
"1629" "hennepin" 1996 18.9333333333333 25.7 35.3333333333333 52.45 -0.533333333333333 8.56666666666667 15.0666666666667 29.6 2.05333333333333 1.40666666666667 2.59333333333333 2.51 16.5 114 36
"1632" "hennepin" 1997 18.4333333333333 29.4 39.1 55.4666666666667 1.33333333333333 12.0666666666667 20.9333333333333 32.2666666666667 1.835 1.33 2.1 1.35 40.6666666666667 130 38
"1635" "hennepin" 1998 25.6 38.02 39.6 62.56 11.96 25.76 24.04 39.98 2.286 2.286 4.536 3.664 107.4 146 44
"1640" "hennepin" 1999 19.7 35.32 44.42 58.5 4.08 19.8 23.82 39.35 3.602 2.646 2.778 2.3275 68 132 41
"1645" "hennepin" 2000 24.24 35.86 50.72 57.16 5.92 18.72 29.94 35.98 2.424 3.208 2.74 2.254 79.8 142 40
"1650" "hennepin" 2001 28.06 21.22 35.9 58.32 10.98 1.72 18.8 38.04 2.43 2.71 2.684 5.556 97.8 129 39
"1655" "hennepin" 2002 31.6 36.4 32.5 55.2 17.04 19.84 16.22 35.36 5.244 3.746 4.166 3.804 98.4 148 47
"1660" "hennepin" 2003 23.65 24.95 40.3 58.7333333333333 6.41666666666667 5 20.7833333333333 38.2333333333333 2.06 1.758 2.918 2.73666666666667 109.5 122 28
"1667" "hennepin" 2004 18.95 28.58 43.95 61.7166666666667 3.28333333333333 13.18 26.9833333333333 37.35 2.064 3.184 3.47 3.115 100.666666666667 151 33
"1674" "hennepin" 2005 22.9333333333333 33.8 40.8166666666667 61.7166666666667 7.6 17.5666666666667 21.6 40.6666666666667 2.485 3.415 3.865 3.76714285714286 126.333333333333 156 37
"1681" "hennepin" 2006 34.1666666666667 28.0166666666667 40.8833333333333 62.5166666666667 21.3 10.7666666666667 25.2166666666667 41.6333333333333 2.07333333333333 3.11166666666667 3.885 3.44142857142857 131.833333333333 135 46
"1688" "hennepin" 2007 26.1333333333333 20.1333333333333 45.8166666666667 56.3833333333333 11.45 4.7 27.6666666666667 35.7333333333333 1.84333333333333 2.47333333333333 4.82166666666667 3.05666666666667 133.833333333333 100 35
"1695" "hennepin" 2008 22.4666666666667 23.15 36.0833333333333 52.8666666666667 4.98333333333333 6.36666666666667 18.5666666666667 33.7333333333333 2.22166666666667 1.90833333333333 1.88333333333333 2.20142857142857 39.3333333333333 145 36
"1702" "hennepin" 2009 17.0833333333333 28.7 40.1 56.5833333333333 -1.01666666666667 11.5833333333333 21.7833333333333 36.8166666666667 1.945 2.445 2.74333333333333 2.00333333333333 61.5 180 47.5
"1709" "hennepin" 2010 19.65 27.5 49.2 65.5 5.5 9.43333333333333 30.6 42.9666666666667 2.455 1.905 3.45333333333333 2.36666666666667 149 160.8 46.5
"1716" "hennepin" 2011 17.85 25.44 36.6333333333333 54.7166666666667 3.83333333333333 8 19.5166666666667 36.2833333333333 2.71666666666667 2.37666666666667 3.00166666666667 2.175 28.8333333333333 145.4 37.5
"1723" "hennepin" 2012 30.8333333333333 34.55 57.15 59.4833333333333 14.8833333333333 19.7333333333333 37.9833333333333 39.6166666666667 2.20166666666667 2.47166666666667 2.17666666666667 2.695 73.3333333333333 164 42.7
"1744" "houston" 1980 25.6 26.6 39.3 59.9 9.2 9 18.7 35.5 1.39 0.1 1.23 1.21 118 110 36
"1745" "houston" 1981 32.4 32.4 45.1 61.9 7.5 12 23.7 38 0.13 2.81 0.47 6.36 73 130 36
"1746" "houston" 1982 16.8 29.2 38.4 54 -5.1 8.8 21.3 30.6 2.25 0.28 2.23 2.55 46 118 35
"1747" "houston" 1983 27 32.9 40.7 49.5 13 20 26 31.5 1.24 1.71 2.03 2.82 31 117 38
"1748" "houston" 1984 22.9 36.6 34.3 55.7 4.5 21.7 16.5 35.6 0.41 1.17 1.98 4.34 24 128 31
"1749" "houston" 1985 19.7 23.2 44.8 60.1 0.2 5.2 26.4 40 1.02 1.72 2.53 4.58 174 123 37
"1750" "houston" 1986 24.8 25 43.6 61.4 6.4 9.1 24.1 38.7 0.6 1.02 1.94 3.51 102 148 41
"1751" "houston" 1987 27.3 38.4 45.5 62.3 11.1 20.4 27.4 37.1 0.94 0.03 2.57 2.99 125 137 45
"1752" "houston" 1988 20.2 24 42 56.9 -1.4 3 23.1 33.4 2.21 0.39 2.01 2.43 40 74 33
"1754" "houston" 1990 33.9 31.9 44.3 56 17.7 11.8 25.8 34.2 0.38 0 2.38 1.86 115 143 46
"1756" "houston" 1992 27.3 33.4 39.9 49.5 14.2 20.6 23.9 33.4 0.46 0 3.55 5.15 26 128 37
"1757" "houston" 1993 22.6 24.4 36.1 50.2 4.7 8.2 18.9 31.6 0.29 0 0.65 7.34 16 85 34
"1759" "houston" 1995 24.6 28.5 43.1 49.6 12.1 10.5 24.2 31 0.33 0 1.97 3.64 2 114 48
"1760" "houston" 1996 21.9 26 34.9 51.5 2.4 7.9 14.3 29.9 0.72 0.24 1.65 2.18 19 136 47
"1761" "houston" 1997 18.9 29.7 39.4 54.1 2.1 13.9 21.2 30.9 0.59 0 0.26 1.33 32 142 42
"1764" "houston" 2000 26.4 37 49.7 56.4 7.7 16.9 29 34.1 0.82 0.49 1.12 0.64 52 138 43
"1766" "houston" 2001 27.4 23.7 35.5 58.7 9.5 3.5 17.4 37 1.2 1.06 1.07 5.66 98 133 33
"1768" "houston" 2002 24.6 37.3 35.6 53.8 8.1 20.4 16.7 33.4 0.62 1.74 1.01 3.7 73 162 50
"1770" "houston" 2003 21.8 25.8 39.7 55.9 4.9 3.4 21.2 32.8 0.56 0.59 1.7 2.36 68 153 35
"1772" "houston" 2004 21.3 28.9 42.9 59.5 4.3 11 28.1 33.9 0.355 1.265 3.175 1.625 80 166 44
"1774" "houston" 2005 22.5 33.8 39 61.2 6.5 19.5 19.6 38.5 1.615 1.16 1.925 1.69 108 183 56
"1776" "houston" 2006 35.3 28.5 40.4 60.8 21.8 9.6 24.3 38.8 0.555 0.425 2.48 7.305 81 166 52
"1778" "houston" 2007 28.1 18.3 44.4 54.1 11.3 1.7 25.1 33.2 0.99 1.635 2.71 2.52 79 160 46
"1781" "houston" 2008 20.6 21.5 36.5 52.4 3.7 2.7 17.3 33.2 0.94 1.28 0.74 8.46 38 167 39.5
"1784" "houston" 2009 16.7 30.8 42 55.6 -4.9 11.6 22 33.3 0.63 0.815 0.91 2.78 44 172 45.5
"1787" "houston" 2010 20.5 28.3 48.7 63.8 4.4 8.3 27.2 39.5 1.015 0.695 0.655 2.62 104 180.3 51.9
"1790" "houston" 2011 19.9 27.6 37.8 52.2 3.8 9.9 20 33.7 0.645 1.175 3.13 3.955 24 172 47.1
"1793" "houston" 2012 29.6 34.3 57.4 57.3 11.7 19.2 37.2 36.4 0.94 1.195 2.1 4.495 48 171.3 53.4
"1802" "isanti" 1980 20.7 23.2 34.9 60.8 2 3.2 14 34.7 0.72 0.3 0.38 0.5 108 86 25
"1803" "isanti" 1981 27.8 29.7 45.4 55.1 5.7 11.5 23.8 35.1 0.41 1.41 0.26 3.19 21 84 22
"1804" "isanti" 1982 10.6 23.9 33.9 52.1 -11 5.4 18.6 32 1.68 0.21 0.69 0.85 52 89 22
"1805" "isanti" 1983 23.1 29.1 37 49 6 17.2 23.5 30.3 0.51 0.19 0.76 0.95 20 83 29
"1806" "isanti" 1984 20.1 34.8 33.2 57 0.6 18.4 12.4 33.2 0.37 0.31 0.37 2.63 20 89 22
"1810" "isanti" 1988 18.2 22 40 58.9 -6.8 0 21.7 33.5 0.89 0.12 0.47 0.84 27 66 23
"1813" "isanti" 1991 18.8 32.4 41.4 58 -2.1 9.6 20.9 36.5 1.4 0.86 1.84 4.27 100 96 28
"1814" "isanti" 1992 26.6 31.6 39 49.8 8.7 17.7 22.2 31.7 0.93 1.5 1.08 2.87 35 79 15
"1815" "isanti" 1993 20.6 22.9 37.4 52.8 0.1 5.1 14.6 30.7 1.64 0.44 1.38 2.44 17 64 26
"1816" "isanti" 1994 9.1 19.7 40.6 54.3 -10.9 0.2 22.2 31.2 1.23 1.19 0.56 4.52 29 134 32
"1818" "isanti" 1996 15.5 23.1 30.7 49.1 -8.9 3 10.8 27.4 1.93 0.39 0.97 1.8 6 87 21
"1819" "isanti" 1997 15.8 25.3 35.3 51.9 -2.9 5.3 17 29.4 2.24 0.02 1.56 0.54 13 111 27
"1820" "isanti" 1998 22.7 35.5 36.6 60.9 8.6 22.7 21 35.7 1.18 0.67 3.34 1.1 65 126 33
"1821" "isanti" 1999 17.1 33.6 41.9 56.1 0.1 14.8 19.9 33.7 2.57 0.14 1.9 2.58 20 118 33
"1822" "isanti" 2000 21.4 32.9 46.9 53.6 0.6 11.3 24 30.9 0.83 2 0.9 1.69 40 111 27
"1823" "isanti" 2001 25.5 18.9 34.2 54.3 6.5 -4.1 14.7 34.9 1.39 0.81 0.98 9.04 74 108 26
"1827" "isanti" 2005 19.2 30.6 48.2 61.4 1.4 7.8 25.5 38.8 0.47 0.81 0.7 0.6 40 107 30
"1828" "isanti" 2006 34.1 27.1 41.3 65.3 17.6 5.6 20.6 39.2 0.1 0.56 0.9 2.56 140 102 30
"1829" "isanti" 2007 25 18.9 43.1 56.3 7.8 -1.3 23.6 30.7 0.61 0.21 2.06 2.32 89 86 21
"1831" "isanti" 2009 14.5 24.6 32.8 53.5 -9.3 0.2 11.5 34.9 0.38 0.65 0.35 0.75 12 140 25.5
"1832" "isanti" 2010 20.5 23.9 44.9 60.8 5.5 6.5 27.5 40.7 0.33 0.1 0.4 1.25 80 137.6 37.2
"1833" "isanti" 2011 13.1 24 34.9 51.2 0.3 5.4 15 34.6 0.4 0.27 0.95 3.85 8 126.9 31.9
"1837" "itasca" 1980 17.8 22.0666666666667 34.1 60.2666666666667 -2.86666666666667 0.433333333333333 7.56666666666667 31.3666666666667 1.29666666666667 0.606666666666667 1.28333333333333 0.7 93 76 22
"1840" "itasca" 1981 24.2 30.2666666666667 44.7 55.3333333333333 -0.0333333333333333 9.13333333333333 20.4333333333333 31.4333333333333 0.126666666666667 0.873333333333333 1.13333333333333 3.49 10.6666666666667 80 25
"1948" "jackson" 1997 15.7 25.9 36.9 51.6 -1.5 10.5 21.2 28.2 0.48 0.15 0.58 1.53 16 128 41
"1949" "jackson" 1998 23.2 35.5 33.1 57.3 7.9 23.2 18.9 35.9 0.42 0.39 2.54 2.59 57 159 44
"1950" "jackson" 1999 18.3 34.5 41.9 54.9 1.1 17.7 23.1 35.8 0.56 0.17 0.57 4.68 32 148 42
"1951" "jackson" 2000 25.7 36.6 50.4 56.5 3.2 17.1 26.2 31.8 0.48 1.04 0.98 1.84 53 143 42
"1952" "jackson" 2001 24.8 19.1 31 56.2 8.9 -1.1 15.3 34.6 1.28 1.31 0.68 6.64 78 118 36
"1953" "jackson" 2002 32.3 35.1 30.5 55.1 11.3 14.6 11.5 32.2 0.14 0.34 0.96 2.2 87 150 46
"1954" "jackson" 2003 24.8 25.6 40.6 58.4 3.6 2.9 16.7 34.2 0.23 0.22 1.1 0.95 91 152 39
"1955" "jackson" 2004 22.1 23.3 45 62.1 1.9 8.4 25.4 31.5 0.28 0.45 1.59 1.89 73 180 39
"1956" "jackson" 2005 20.4 35.5 39.4 60.9 4.7 16 17.3 37.7 0.18 1.22 1.11 2.58 106 186 55
"1957" "jackson" 2006 31.8 26.9 36.8 59.8 19.6 7.3 20.8 38.8 0.36 0.25 3.02 7.28 96 160 49
"1958" "jackson" 2007 24.6 18.1 43.6 53.2 8.3 0.9 26.2 31.2 0.47 1.16 2.81 1.91 89 163 49
"1959" "jackson" 2008 18.7 20.2 35.1 51 1.2 2.6 17.4 30 0.35 0.29 1.02 3.14 8 172 42.5
"1960" "jackson" 2009 17.9 29.4 39.4 54.6 -2.6 8.7 19.5 31.6 0.65 0.94 1.63 1.84 40 184 49
"1961" "jackson" 2010 14.8 20.5 41.4 64.4 -0.8 3.4 24.9 38.6 0.79 0.44 1.12 3.01 118 185.7 48.7
"1962" "jackson" 2011 16.6 23 33.7 52.2 -1.6 5.2 16.9 33.7 1.1 1.07 0.92 3.22 9 164.6 45.7
"1963" "jackson" 2012 30.5 33.7 57.2 61.8 11.8 15 34.7 36 0.72 2.19 1.11 2.9 80 177.2 47.5
"1967" "kanabec" 1981 28.9 31.9 47.2 59.2 0.2 8.6 21 32.8 0.09 1.74 1.15 3.41 45 84 25
"1968" "kanabec" 1982 10.3 23.7 35.1 53 -22.5 -5.9 9 24.7 1.6 0.25 1.06 0.25 44 80 24
"1969" "kanabec" 1983 26.1 31.8 38.6 51.3 0.5 15.4 22.7 28.9 0.82 0.21 1.94 1.53 15 84 25
"1970" "kanabec" 1984 20.5 35.1 35.1 57.9 -9.2 9.6 7.3 26.5 0.46 0.88 0.79 3.61 12 76 18
"1971" "kanabec" 1985 17.8 23.5 41.3 58.7 -16 -11.2 15 35.5 0.25 0.41 3 2.88 94 90 23
"1972" "kanabec" 1986 23.6 22.8 41.4 56.8 -0.8 -4.5 16.9 31.4 0.64 0.87 1.07 5.68 15 104 29
"1973" "kanabec" 1987 25.3 38.4 46.5 68.1 -0.8 8.7 18.3 27.4 0.32 0.07 0.25 0.07 74 90 38
"1974" "kanabec" 1988 18 20.9 39.4 59 -20 -16.1 9.6 17.9 0.53 0.07 1.71 0.21 21 59 23
"1975" "kanabec" 1989 28.6 16.9 34 53.2 -0.9 -9.9 13.5 28.2 0.77 0.36 1.22 1.7 30 65 21
"1976" "kanabec" 1990 32.8 30.9 43.3 56.5 5.4 -3.5 17.7 27.9 0.21 0.92 3.41 3.27 104 102 28
"1977" "kanabec" 1991 19.9 32.9 40.7 58.5 -5.7 6.4 18.4 32 0.46 0.99 3.04 4.09 78 96 32
"1979" "kanabec" 1993 22.9 25.4 39.3 52.7 -2.5 3.4 15.8 29.9 1.05 0.12 0.74 1.53 12 57 28
"1980" "kanabec" 1994 11.4 20.1 41.1 55.5 -12.5 -4.3 21.4 30.9 1.07 0.66 0.81 3.83 46 116 30
"1981" "kanabec" 1995 22.8 26.1 41 48.1 2 -1.1 19.8 28.6 1.63 0.73 2.84 2.05 0 97 31
"1982" "kanabec" 1996 15.9 22.9 30.8 48.2 -10.1 0.6 9.6 26.8 1.39 0.57 0.59 1.56 2 56 20
"1983" "kanabec" 1997 17.5 27.6 36.1 52.2 -4.4 6 16.6 27.8 1.58 0.02 1.6 0.65 10 106 31
"1985" "kanabec" 1999 17.3 33.8 42 55.3 -2.5 12.3 21.4 33.6 0.92 0.27 2.05 2.13 18 117 37
"1986" "kanabec" 2000 22.4 32.4 47.5 53.8 -0.7 12.8 25.8 30.6 0.4 1.63 1.66 0.64 38 106 33
"1987" "kanabec" 2001 26.6 19.4 35.6 53.6 5.2 -6.3 13.2 33.3 1.13 2.2 1.11 5.05 54 116 25
"1989" "kanabec" 2003 20.1 21.8 36.4 53.6 1.8 -1.2 14.5 29.9 0.1 0.25 0.48 3.11 34 81 18
"1990" "kanabec" 2004 16.3 26.9 40.4 56.7 -3.1 6.7 21.2 30 1.05 0.85 1.13 2.36 22 94 21
"1991" "kanabec" 2005 18.4 31.5 37.4 59.8 -2.4 11.7 13.2 34.9 1.82 1.46 0.92 2.47 71 71 22
"1992" "kanabec" 2006 32.4 24.9 39.6 61.4 16.1 1.5 22.3 36.5 0.2 0.44 0.78 2.56 74 78 30
"1993" "kanabec" 2007 23.9 19.1 42.7 53.9 6.2 -1.8 20.9 30.6 0.64 1.69 2.15 2.4 76 71 22
"1995" "kanabec" 2009 13.4 27.5 37.3 53.7 -13.8 4.8 15.9 31.7 0.49 0.86 2.54 1.5 29 125 42.3
"1996" "kanabec" 2010 19 27.9 48.4 63.7 -0.9 3.3 24.6 36.7 0.47 0.42 1.47 1.56 74 149.6 29.9
"1997" "kanabec" 2011 15.4 26.1 35 51.8 -1.5 2.8 11.7 31.5 1 0.73 1.43 2.37 12 125.2 33.2
"2001" "kandiyohi" 2011 14.2 21.6 31.3 51 -4.9 0.9 12.2 32.5 2.32 0.95 0.99 1.92 3 150 37.7
"2002" "kandiyohi" 2012 30.3 33.1 53.1 57.4 9.9 12.3 31.3 36.3 0.32 0.42 1.34 1.4 43 186.2 45.9
"2006" "kittson" 1981 20.3 24.5 40.7 54.7 -1.6 7.2 21.9 30.5 0.26 1.02 0.63 0.46 36 69 16
"2007" "kittson" 1982 -1.2 15.9 29.9 49.3 -22.2 -4.1 12.7 26.3 0.94 0.12 0.93 1.11 36 56 31
"2008" "kittson" 1983 20.2 24.1 32.1 49.1 4 7.6 19.5 29.8 1.28 0.09 2.07 0.06 24 47 20
"2009" "kittson" 1984 15.6 30.1 29.5 57.9 -4.8 12 11.1 34.3 0.54 0.33 0.29 1.93 31 63 19
"2010" "kittson" 1985 11.9 13.6 38.2 57.3 -9.8 -8.4 20.4 32.8 0.23 0.48 0.38 1.13 74 50 22
"2011" "kittson" 1986 18.1 15.4 37.1 53.1 -1.7 -2.6 15.8 31.3 0.37 0.25 0.6 2.16 13 74 16
"2014" "kittson" 1989 16.3 8.1 22.3 45.6 -6.3 -14.6 5.2 23.8 1.38 0.8 1.2 0.36 15 75 10
"2015" "kittson" 1990 22.6 18.2 34.8 51.2 4.7 -2.6 18 28.9 0.75 0.4 1.82 1.03 94 58 20
"2016" "kittson" 1991 9.3 24.4 35.4 57.6 -12.5 5.2 15.5 33.8 0.43 0.17 0.39 2.43 72 85 18
"2017" "kittson" 1992 20 23.5 34 44.5 3.3 5.7 18.3 29 0.35 0.53 0.78 1.16 13 35 29
"2019" "kittson" 1994 -1.5 9.5 35.7 52.6 -17.4 -11.3 17.5 27.5 0.58 0.29 0.25 0.31 12 77 29
"2020" "kittson" 1995 12.3 15.5 31 44.3 -5.1 -5.9 18.2 25.3 0.38 0.52 0.93 0.26 0 77 34
"2021" "kittson" 1996 1.5 13.6 20.9 39.1 -19.4 -5.6 1 21.7 1.03 0.81 0.93 0.87 0 57 31
"2040" "koochiching" 1980 14.75 20.2 32.65 58.95 -8.75 -2 3.65 30.5 1.04 0.53 0.89 0.296666666666667 84.5 77 23
"2046" "koochiching" 1982 4.75 18.8 31.05 49.85 -23.9 -3.7 7.3 23.05 1.10333333333333 0.516666666666667 1.725 0.803333333333333 39 68 24
"2049" "koochiching" 1983 21 27 36.5 51.2 3 7.1 19.5 26.75 0.363333333333333 0.903333333333333 0.66 0.733333333333333 12 74 20
"2052" "koochiching" 1984 13.95 31.6 31 58.1 -8.85 12.7 7.6 30.7 0.38 0.726666666666667 0.196666666666667 0.776666666666667 8.5 70 29
"2055" "koochiching" 1985 12.8 18.2 39.15 55.5 -11.05 -6.25 17.05 30.9 0.386666666666667 0.6 0.703333333333333 3.04 55.5 55 26
"2145" "lac qui parle" 1980 25.35 25.4 36.55 66.5 4.95 6.4 16.15 37 0.46 0.823333333333333 1.09 0.11 189 79 29
"2148" "lac qui parle" 1981 32.7 35 53.5 66.3 4.3 12.05 24.9 36.85 0.5 1.89333333333333 0.753333333333333 1.12 118 89 26
"2151" "lac qui parle" 1982 8.3 24.6 37.2 56.75 -13.5 5.4 22.25 31.35 1.69333333333333 0.286666666666667 0.976666666666667 1.95666666666667 81.5 92 28
"2154" "lac qui parle" 1983 27 31.9 38.95 53.45 8.75 18.1 25.1 30.2 0.976666666666667 0.163333333333333 2.87 0.943333333333333 20 65 29
